name,prev_node,prev_edge,new_node,new_edge,block
aes,1720,2773,1784,6339,64
gemm-blocked,267,429,294,1015,27
gemm-ncubed,172,275,189,651,17
spmv-crs,174,272,186,642,12
spmv-ellpack,156,244,168,578,12
stencil_stencil2d,194,308,216,738,22
nw,439,704,479,1660,40
md,397,630,409,1446,12
stencil-3d,361,598,375,1346,14
2mm,354,566,380,1324,26
3mm,488,788,526,1838,38
adi,1047,1716,1077,3868,30
atax,231,364,249,860,18
bicg,217,340,231,800,14
bicg-large,216,338,230,796,14
covariance,424,682,454,1588,30
doitgen,244,388,266,918,22
doitgen-red,230,368,252,870,22
fdtd-2d,521,843,555,1951,34
fdtd-2d-large,521,843,555,1951,34
gemm-p,217,344,235,812,18
gemm-p-large,217,344,235,812,18
gemver,408,652,438,1526,30
gesummv,266,416,276,966,10
heat-3d,819,1358,849,3054,30
jacobi-1d,198,314,212,736,14
jacobi-2d,390,636,412,1458,22
mvt,206,328,224,774,18
seidel-2d,315,514,329,1170,14
symm,319,510,335,1178,16
symm-opt,354,568,376,1318,22
syrk,220,352,242,834,22
syr2k,271,434,293,1018,22
trmm,198,316,214,742,16
trmm-opt,188,300,204,706,16
mvt-medium,206,328,224,774,18
correlation,662,1071,705,2479,43
atax-medium,223,352,241,832,18
bicg-medium,217,340,231,800,14
gesummv-medium,244,382,254,888,10
symm-opt-medium,354,568,376,1318,22
gemver-medium,417,666,447,1558,30
